Set,Price_Euro,Pieces,Minifigs
Bookshop,199.99,2504.0,5.0
Fiat 500,79.99,960.0,
Old Trafford - Manchester United,279.99,3898.0,
Haunted House,299.99,3231.0,10.0
Ghostbusters ECTO-1,239.99,2352.0,
Elf Club House,89.99,1197.0,4.0
Colosseum,549.99,9036.0,
Crocodile Locomotive,99.99,1271.0,2.0
Heart Box,19.99,80.0,
Brick Box,29.99,65.0,2.0
Deluxe Brick Box,49.99,85.0,2.0
Alphabet Truck,29.99,36.0,2.0
Fire Truck,4.86,6.0,
Tow Truck,4.99,7.0,
Batcave,34.99,33.0,3.0
Elsa and Olaf's Tea Party,19.99,17.0,2.0
Super Heroes Lab,29.99,30.0,3.0
Ariel's Undersea Castle,29.99,35.0,1.0
Lightning McQueen's Race Day,29.99,42.0,2.0
Playroom,14.99,17.0,2.0
Bedroom,14.99,16.0,2.0
Pizza Stand,9.99,18.0,1.0
Bakery,39.99,46.0,2.0
Modular Playhouse,59.99,129.0,3.0
Bulldozer,9.99,10.0,1.0
Truck & Tracked Excavator,19.99,20.0,2.0
Wrecking Ball Demolition,59.99,56.0,3.0
Tower Crane & Construction,129.99,123.0,5.0
Creative Animals,59.99,175.0,
Creative Blue Bricks,4.99,52.0,
Creative Green Bricks,4.99,60.0,
Bricks and Houses,19.99,270.0,
Bricks and Lights,29.99,441.0,
White Baseplate,8.99,1.0,
Bricks and Animals,59.99,1500.0,
Bricks Bricks Plates,69.99,1504.0,
The LEGO Games Book parts,,0.0,
Halloween Ideas parts,,0.0,
Cute Ideas parts,,35.0,
Epic History parts,,53.0,
Jurassic World Build Your Own Adventure parts,,63.0,1.0
City Build Your Own Adventure: Police Chase parts,,,
Robot,,45.0,
Octopus,,63.0,
Castle,,52.0,
Frog,,56.0,
Lunar Lander,,45.0,
Ant,,25.0,
Tokyo,59.99,547.0,
Dubai,59.99,740.0,
